Plate,Row,Column,x,y
1,A,1,-30.5,-55
1,A,2,-30.5,-50.5
1,A,3,-30.5,-46
1,A,4,-30.5,-41.5
1,B,1,-26,-55
1,B,2,-26,-50.5
1,B,3,-26,-46
1,B,4,-26,-41.5
1,C,1,-21.5,-55
1,C,2,-21.5,-50.5
1,C,3,-21.5,-46
1,C,4,-21.5,-41.5
1,D,1,-17,-55
1,D,2,-17,-50.5
1,D,3,-17,-46
1,D,4,-17,-41.5
1,E,1,-12.5,-55
1,E,2,-12.5,-50.5
1,E,3,-12.5,-46
1,E,4,-12.5,-41.5
1,F,1,-8,-55
1,F,2,-8,-50.5
1,F,3,-8,-46
1,F,4,-8,-41.5
1,G,1,-3.5,-55
1,G,2,-3.5,-50.5
1,G,3,-3.5,-46
1,G,4,-3.5,-41.5
1,H,1,1,-55
1,H,2,1,-50.5
1,H,3,1,-46
1,H,4,1,-41.5
1,I,1,5.5,-55
1,I,2,5.5,-50.5
1,I,3,5.5,-46
1,I,4,5.5,-41.5
1,J,1,10,-55
1,J,2,10,-50.5
1,J,3,10,-46
1,J,4,10,-41.5
1,K,1,14.5,-55
1,K,2,14.5,-50.5
1,K,3,14.5,-46
1,K,4,14.5,-41.5
1,L,1,19,-55
1,L,2,19,-50.5
1,L,3,19,-46
1,L,4,19,-41.5
2,A,1,-30.5,-23
2,A,2,-30.5,-18.5
2,A,3,-30.5,-14
2,A,4,-30.5,-9.5
2,B,1,-26,-23
2,B,2,-26,-18.5
2,B,3,-26,-14
2,B,4,-26,-9.5
2,C,1,-21.5,-23
2,C,2,-21.5,-18.5
2,C,3,-21.5,-14
2,C,4,-21.5,-9.5
2,D,1,-17,-23
2,D,2,-17,-18.5
2,D,3,-17,-14
2,D,4,-17,-9.5
2,E,1,-12.5,-23
2,E,2,-12.5,-18.5
2,E,3,-12.5,-14
2,E,4,-12.5,-9.5
2,F,1,-8,-23
2,F,2,-8,-18.5
2,F,3,-8,-14
2,F,4,-8,-9.5
2,G,1,-3.5,-23
2,G,2,-3.5,-18.5
2,G,3,-3.5,-14
2,G,4,-3.5,-9.5
2,H,1,1,-23
2,H,2,1,-18.5
2,H,3,1,-14
2,H,4,1,-9.5
2,I,1,5.5,-23
2,I,2,5.5,-18.5
2,I,3,5.5,-14
2,I,4,5.5,-9.5
2,J,1,10,-23
2,J,2,10,-18.5
2,J,3,10,-14
2,J,4,10,-9.5
2,K,1,14.5,-23
2,K,2,14.5,-18.5
2,K,3,14.5,-14
2,K,4,14.5,-9.5
2,L,1,19,-23
2,L,2,19,-18.5
2,L,3,19,-14
2,L,4,19,-9.5
3,A,1,-30.5,9
3,A,2,-30.5,13.5
3,A,3,-30.5,18
3,A,4,-30.5,22.5
3,B,1,-26,9
3,B,2,-26,13.5
3,B,3,-26,18
3,B,4,-26,22.5
3,C,1,-21.5,9
3,C,2,-21.5,13.5
3,C,3,-21.5,18
3,C,4,-21.5,22.5
3,D,1,-17,9
3,D,2,-17,13.5
3,D,3,-17,18
3,D,4,-17,22.5
3,E,1,-12.5,9
3,E,2,-12.5,13.5
3,E,3,-12.5,18
3,E,4,-12.5,22.5
3,F,1,-8,9
3,F,2,-8,13.5
3,F,3,-8,18
3,F,4,-8,22.5
3,G,1,-3.5,9
3,G,2,-3.5,13.5
3,G,3,-3.5,18
3,G,4,-3.5,22.5
3,H,1,1,9
3,H,2,1,13.5
3,H,3,1,18
3,H,4,1,22.5
3,I,1,5.5,9
3,I,2,5.5,13.5
3,I,3,5.5,18
3,I,4,5.5,22.5
3,J,1,10,9
3,J,2,10,13.5
3,J,3,10,18
3,J,4,10,22.5
3,K,1,14.5,9
3,K,2,14.5,13.5
3,K,3,14.5,18
3,K,4,14.5,22.5
3,L,1,19,9
3,L,2,19,13.5
3,L,3,19,18
3,L,4,19,22.5
4,A,1,-30.5,41
4,A,2,-30.5,45.5
4,A,3,-30.5,50
4,A,4,-30.5,54.5
4,B,1,-26,41
4,B,2,-26,45.5
4,B,3,-26,50
4,B,4,-26,54.5
4,C,1,-21.5,41
4,C,2,-21.5,45.5
4,C,3,-21.5,50
4,C,4,-21.5,54.5
4,D,1,-17,41
4,D,2,-17,45.5
4,D,3,-17,50
4,D,4,-17,54.5
4,E,1,-12.5,41
4,E,2,-12.5,45.5
4,E,3,-12.5,50
4,E,4,-12.5,54.5
4,F,1,-8,41
4,F,2,-8,45.5
4,F,3,-8,50
4,F,4,-8,54.5
4,G,1,-3.5,41
4,G,2,-3.5,45.5
4,G,3,-3.5,50
4,G,4,-3.5,54.5
4,H,1,1,41
4,H,2,1,45.5
4,H,3,1,50
4,H,4,1,54.5
4,I,1,5.5,41
4,I,2,5.5,45.5
4,I,3,5.5,50
4,I,4,5.5,54.5
4,J,1,10,41
4,J,2,10,45.5
4,J,3,10,50
4,J,4,10,54.5
4,K,1,14.5,41
4,K,2,14.5,45.5
4,K,3,14.5,50
4,K,4,14.5,54.5
4,L,1,19,41
4,L,2,19,45.5
4,L,3,19,50
4,L,4,19,54.5
