Plate,Row,Column,x,y
1,A,1,-55,-30.5
1,A,2,-50.5,-30.5
1,A,3,-46,-30.5
1,A,4,-41.5,-30.5
1,B,1,-55,-26
1,B,2,-50.5,-26
1,B,3,-46,-26
1,B,4,-41.5,-26
1,C,1,-55,-21.5
1,C,2,-50.5,-21.5
1,C,3,-46,-21.5
1,C,4,-41.5,-21.5
1,D,1,-55,-17
1,D,2,-50.5,-17
1,D,3,-46,-17
1,D,4,-41.5,-17
1,E,1,-55,-12.5
1,E,2,-50.5,-12.5
1,E,3,-46,-12.5
1,E,4,-41.5,-12.5
1,F,1,-55,-8
1,F,2,-50.5,-8
1,F,3,-46,-8
1,F,4,-41.5,-8
1,G,1,-55,-3.5
1,G,2,-50.5,-3.5
1,G,3,-46,-3.5
1,G,4,-41.5,-3.5
1,H,1,-55,1
1,H,2,-50.5,1
1,H,3,-46,1
1,H,4,-41.5,1
1,I,1,-55,5.5
1,I,2,-50.5,5.5
1,I,3,-46,5.5
1,I,4,-41.5,5.5
1,J,1,-55,10
1,J,2,-50.5,10
1,J,3,-46,10
1,J,4,-41.5,10
1,K,1,-55,14.5
1,K,2,-50.5,14.5
1,K,3,-46,14.5
1,K,4,-41.5,14.5
1,L,1,-55,19
1,L,2,-50.5,19
1,L,3,-46,19
1,L,4,-41.5,19
2,A,1,-23,-30.5
2,A,2,-18.5,-30.5
2,A,3,-14,-30.5
2,A,4,-9.5,-30.5
2,B,1,-23,-26
2,B,2,-18.5,-26
2,B,3,-14,-26
2,B,4,-9.5,-26
2,C,1,-23,-21.5
2,C,2,-18.5,-21.5
2,C,3,-14,-21.5
2,C,4,-9.5,-21.5
2,D,1,-23,-17
2,D,2,-18.5,-17
2,D,3,-14,-17
2,D,4,-9.5,-17
2,E,1,-23,-12.5
2,E,2,-18.5,-12.5
2,E,3,-14,-12.5
2,E,4,-9.5,-12.5
2,F,1,-23,-8
2,F,2,-18.5,-8
2,F,3,-14,-8
2,F,4,-9.5,-8
2,G,1,-23,-3.5
2,G,2,-18.5,-3.5
2,G,3,-14,-3.5
2,G,4,-9.5,-3.5
2,H,1,-23,1
2,H,2,-18.5,1
2,H,3,-14,1
2,H,4,-9.5,1
2,I,1,-23,5.5
2,I,2,-18.5,5.5
2,I,3,-14,5.5
2,I,4,-9.5,5.5
2,J,1,-23,10
2,J,2,-18.5,10
2,J,3,-14,10
2,J,4,-9.5,10
2,K,1,-23,14.5
2,K,2,-18.5,14.5
2,K,3,-14,14.5
2,K,4,-9.5,14.5
2,L,1,-23,19
2,L,2,-18.5,19
2,L,3,-14,19
2,L,4,-9.5,19
3,A,1,9,-30.5
3,A,2,13.5,-30.5
3,A,3,18,-30.5
3,A,4,22.5,-30.5
3,B,1,9,-26
3,B,2,13.5,-26
3,B,3,18,-26
3,B,4,22.5,-26
3,C,1,9,-21.5
3,C,2,13.5,-21.5
3,C,3,18,-21.5
3,C,4,22.5,-21.5
3,D,1,9,-17
3,D,2,13.5,-17
3,D,3,18,-17
3,D,4,22.5,-17
3,E,1,9,-12.5
3,E,2,13.5,-12.5
3,E,3,18,-12.5
3,E,4,22.5,-12.5
3,F,1,9,-8
3,F,2,13.5,-8
3,F,3,18,-8
3,F,4,22.5,-8
3,G,1,9,-3.5
3,G,2,13.5,-3.5
3,G,3,18,-3.5
3,G,4,22.5,-3.5
3,H,1,9,1
3,H,2,13.5,1
3,H,3,18,1
3,H,4,22.5,1
3,I,1,9,5.5
3,I,2,13.5,5.5
3,I,3,18,5.5
3,I,4,22.5,5.5
3,J,1,9,10
3,J,2,13.5,10
3,J,3,18,10
3,J,4,22.5,10
3,K,1,9,14.5
3,K,2,13.5,14.5
3,K,3,18,14.5
3,K,4,22.5,14.5
3,L,1,9,19
3,L,2,13.5,19
3,L,3,18,19
3,L,4,22.5,19
4,A,1,41,-30.5
4,A,2,45.5,-30.5
4,A,3,50,-30.5
4,A,4,54.5,-30.5
4,B,1,41,-26
4,B,2,45.5,-26
4,B,3,50,-26
4,B,4,54.5,-26
4,C,1,41,-21.5
4,C,2,45.5,-21.5
4,C,3,50,-21.5
4,C,4,54.5,-21.5
4,D,1,41,-17
4,D,2,45.5,-17
4,D,3,50,-17
4,D,4,54.5,-17
4,E,1,41,-12.5
4,E,2,45.5,-12.5
4,E,3,50,-12.5
4,E,4,54.5,-12.5
4,F,1,41,-8
4,F,2,45.5,-8
4,F,3,50,-8
4,F,4,54.5,-8
4,G,1,41,-3.5
4,G,2,45.5,-3.5
4,G,3,50,-3.5
4,G,4,54.5,-3.5
4,H,1,41,1
4,H,2,45.5,1
4,H,3,50,1
4,H,4,54.5,1
4,I,1,41,5.5
4,I,2,45.5,5.5
4,I,3,50,5.5
4,I,4,54.5,5.5
4,J,1,41,10
4,J,2,45.5,10
4,J,3,50,10
4,J,4,54.5,10
4,K,1,41,14.5
4,K,2,45.5,14.5
4,K,3,50,14.5
4,K,4,54.5,14.5
4,L,1,41,19
4,L,2,45.5,19
4,L,3,50,19
4,L,4,54.5,19
