Plate,Row,Column,x,y,x from file,y from file,recalcedX,recalcedY,deltaX,deltaY
1,A,1,-55,-30.5,-51,-25.85,-50.35,-26.85,0.649999999999999,-0.999999999999993
1,A,2,-50.5,-30.5,-46.5,-25.85,-45.85,-26.85,0.649999999999999,-0.999999999999993
1,A,3,-46,-30.5,-42,-25.85,-41.35,-26.85,0.649999999999999,-0.999999999999993
1,A,4,-41.5,-30.5,-37.5,-25.85,-36.85,-26.85,0.649999999999999,-0.999999999999993
1,B,1,-55,-26,-51,-21.35,-50.35,-22.35,0.649999999999999,-0.999999999999993
1,B,2,-50.5,-26,-46.5,-21.35,-45.85,-22.35,0.649999999999999,-0.999999999999993
1,B,3,-46,-26,-42,-21.35,-41.35,-22.35,0.649999999999999,-0.999999999999993
1,B,4,-41.5,-26,-37.5,-21.35,-36.85,-22.35,0.649999999999999,-0.999999999999993
1,C,1,-55,-21.5,-51,-16.85,-50.35,-17.85,0.649999999999999,-0.999999999999993
1,C,2,-50.5,-21.5,-46.5,-16.85,-45.85,-17.85,0.649999999999999,-0.999999999999993
1,C,3,-46,-21.5,-42,-16.85,-41.35,-17.85,0.649999999999999,-0.999999999999993
1,C,4,-41.5,-21.5,-37.5,-16.85,-36.85,-17.85,0.649999999999999,-0.999999999999993
1,D,1,-55,-17,-51,-12.35,-50.35,-13.35,0.649999999999999,-0.999999999999995
1,D,2,-50.5,-17,-46.5,-12.35,-45.85,-13.35,0.649999999999999,-0.999999999999995
1,D,3,-46,-17,-42,-12.35,-41.35,-13.35,0.649999999999999,-0.999999999999995
1,D,4,-41.5,-17,-37.5,-12.35,-36.85,-13.35,0.649999999999999,-0.999999999999995
1,E,1,-55,-12.5,-51,-7.85,-50.35,-8.84999999999999,0.649999999999999,-0.999999999999995
1,E,2,-50.5,-12.5,-46.5,-7.85,-45.85,-8.84999999999999,0.649999999999999,-0.999999999999995
1,E,3,-46,-12.5,-42,-7.85,-41.35,-8.84999999999999,0.649999999999999,-0.999999999999995
1,E,4,-41.5,-12.5,-37.5,-7.85,-36.85,-8.84999999999999,0.649999999999999,-0.999999999999995
1,F,1,-55,-8,-51,-3.35,-50.35,-4.34999999999999,0.649999999999999,-0.999999999999994
1,F,2,-50.5,-8,-46.5,-3.35,-45.85,-4.34999999999999,0.649999999999999,-0.999999999999994
