CardinalRow,CardinalCol,CartesianXBL,CartesianBL,CartesianX,CartesianY
A,1,14.3,74.3,-49.58,-31.56
A,2,23.3,74.3,-40.58,-31.56
A,3,32.3,74.3,-31.58,-31.56
A,4,41.3,74.3,-22.58,-31.56
A,5,50.3,74.3,-13.58,-31.56
A,6,59.3,74.3,-4.58000000000001,-31.56
A,7,68.3,74.3,4.41999999999999,-31.56
A,8,77.3,74.3,13.42,-31.56
A,9,86.3,74.3,22.42,-31.56
A,10,95.3,74.3,31.42,-31.56
A,11,104.3,74.3,40.42,-31.56
A,12,113.3,74.3,49.42,-31.56
B,1,14.3,65.3,-49.58,-22.56
B,2,23.3,65.3,-40.58,-22.56
B,3,32.3,65.3,-31.58,-22.56
B,4,41.3,65.3,-22.58,-22.56
B,5,50.3,65.3,-13.58,-22.56
B,6,59.3,65.3,-4.58000000000001,-22.56
B,7,68.3,65.3,4.41999999999999,-22.56
B,8,77.3,65.3,13.42,-22.56
B,9,86.3,65.3,22.42,-22.56
B,10,95.3,65.3,31.42,-22.56
B,11,104.3,65.3,40.42,-22.56
B,12,113.3,65.3,49.42,-22.56
C,1,14.3,56.3,-49.58,-13.56
C,2,23.3,56.3,-40.58,-13.56
C,3,32.3,56.3,-31.58,-13.56
C,4,41.3,56.3,-22.58,-13.56
C,5,50.3,56.3,-13.58,-13.56
C,6,59.3,56.3,-4.58000000000001,-13.56
C,7,68.3,56.3,4.41999999999999,-13.56
C,8,77.3,56.3,13.42,-13.56
C,9,86.3,56.3,22.42,-13.56
C,10,95.3,56.3,31.42,-13.56
C,11,104.3,56.3,40.42,-13.56
C,12,113.3,56.3,49.42,-13.56
D,1,14.3,47.3,-49.58,-4.56
D,2,23.3,47.3,-40.58,-4.56
D,3,32.3,47.3,-31.58,-4.56
D,4,41.3,47.3,-22.58,-4.56
D,5,50.3,47.3,-13.58,-4.56
D,6,59.3,47.3,-4.58000000000001,-4.56
D,7,68.3,47.3,4.41999999999999,-4.56
D,8,77.3,47.3,13.42,-4.56
D,9,86.3,47.3,22.42,-4.56
D,10,95.3,47.3,31.42,-4.56
D,11,104.3,47.3,40.42,-4.56
D,12,113.3,47.3,49.42,-4.56
E,1,14.3,38.3,-49.58,4.44000000000001
E,2,23.3,38.3,-40.58,4.44000000000001
E,3,32.3,38.3,-31.58,4.44000000000001
E,4,41.3,38.3,-22.58,4.44000000000001
E,5,50.3,38.3,-13.58,4.44000000000001
E,6,59.3,38.3,-4.58000000000001,4.44000000000001
E,7,68.3,38.3,4.41999999999999,4.44000000000001
E,8,77.3,38.3,13.42,4.44000000000001
E,9,86.3,38.3,22.42,4.44000000000001
E,10,95.3,38.3,31.42,4.44000000000001
E,11,104.3,38.3,40.42,4.44000000000001
E,12,113.3,38.3,49.42,4.44000000000001
F,1,14.3,29.3,-49.58,13.44
F,2,23.3,29.3,-40.58,13.44
F,3,32.3,29.3,-31.58,13.44
F,4,41.3,29.3,-22.58,13.44
F,5,50.3,29.3,-13.58,13.44
F,6,59.3,29.3,-4.58000000000001,13.44
F,7,68.3,29.3,4.41999999999999,13.44
F,8,77.3,29.3,13.42,13.44
F,9,86.3,29.3,22.42,13.44
F,10,95.3,29.3,31.42,13.44
F,11,104.3,29.3,40.42,13.44
F,12,113.3,29.3,49.42,13.44
G,1,14.3,20.3,-49.58,22.44
G,2,23.3,20.3,-40.58,22.44
G,3,32.3,20.3,-31.58,22.44
G,4,41.3,20.3,-22.58,22.44
G,5,50.3,20.3,-13.58,22.44
G,6,59.3,20.3,-4.58000000000001,22.44
G,7,68.3,20.3,4.41999999999999,22.44
G,8,77.3,20.3,13.42,22.44
G,9,86.3,20.3,22.42,22.44
G,10,95.3,20.3,31.42,22.44
G,11,104.3,20.3,40.42,22.44
G,12,113.3,20.3,49.42,22.44
H,1,14.3,11.3,-49.58,31.44
H,2,23.3,11.3,-40.58,31.44
H,3,32.3,11.3,-31.58,31.44
H,4,41.3,11.3,-22.58,31.44
H,5,50.3,11.3,-13.58,31.44
H,6,59.3,11.3,-4.58000000000001,31.44
H,7,68.3,11.3,4.41999999999999,31.44
H,8,77.3,11.3,13.42,31.44
H,9,86.3,11.3,22.42,31.44
H,10,95.3,11.3,31.42,31.44
H,11,104.3,11.3,40.42,31.44
H,12,113.3,11.3,49.42,31.44
